filer_ein,filer_name,receipt_amt,govt_amt,contrib_amt,tax_year,xml_name
570507961,SENIOR ACTION INC,2444281,1412192,387090,2023,202443279349300504
591309186,Hope Villages of America Inc,12741841,1606504,10453319,2023,202403549349300035
222801813,NEED IN DEED,655148,0,562449,2023,202423549349301522
237202906,Geva Theatre Center Inc,6860834,177176,1785781,2023,202403489349300915
721003934,METHODIST HEALTH SYSTEM FOUNDATION INC,101169982,283470,65493,2023,202403279349301330
450493835,Dennis Aaron Ministries Inc,1090895,0,1016153,2023,202433329349300118
203555107,NOLAN COUNTY LIVESTOCK ASSOCIATION,342742,0,316590,2023,202433479349300418
061139541,GUILFORD INTERFAITH MINISTRIES INC,1173053,102500,300699,2023,202433449349300048
113088310,HAND ACROSS LONG ISLAND INC,5265432,4683954,89349,2023,202403319349300915
330759107,COMMUNITY CLINICS HEALTH NETWORK,86659831,5050838,699338,2023,202443459349300819
813692267,BELONGING TO EACH OTHER INC,1601841,1354071,153610,2023,202443529349300004
237120670,COMMUNITY ACTION HOUSE,11979875,541478,10158936,2023,202413449349300021
370662520,COORDINATED YOUTH &,5791433,2869763,192090,2023,202403539349300120
473560510,United Returning Citizens Inc,439014,0,439014,2023,202433469349301308
832424185,TIMBERKNOLLS SPIRIT COVE INC,1031107,0,1024566,2023,202413399349300206
043812274,FOSTER & ADOPTIVE PARENT ADVOCACY CENTER,818340,187119,390545,2023,202443519349301009
831003621,WOODBURN COMMUNITY FIRE DEPARTMENT,304696,0,292769,2023,202413459349300111
581053830,BREAKTHRU HOUSE INC,1392352,1210234,136565,2023,202413309349300426
820832831,COOL SPRING DOWNTOWN DISTRICT INC,929747,556600,121000,2023,202433329349300513
275426399,Bikes for the World Inc,1912012,0,1669368,2023,202403529349300010
660207156,UNIVERSIDAD DEL SAGRADO CORAZON INC,65155656,5338818,1281117,2023,202423529349301507
911328998,MEDINA PTSA,1005318,0,350987,2023,202413489349301301
541085026,RITA WELSH ADULT LITERACY PROGRAM INC,1168916,434560,355763,2023,202423539349300217
221665355,THE ARC OF NEW JERSEY INC,4372791,1724869,212000,2023,202433469349300528
760685688,ASIANS AGAINST DOMESTIC ABUSE,630442,0,630436,2023,202433449349300443
450432448,CAVALIER COUNTY SENIOR MEALS & SERVICE,530393,302789,130147,2023,202413309349300411
850702039,Transgender Advocates Knowledgeable Empowering,1485848,0,1485848,2023,202413349349300601
464468575,GRAND VIEW CHRISTIAN SCHOOL,10030215,0,1953747,2023,202433479349300013
581661700,NORTH CAROLINA COMMUNITY FOUNDATION,277347639,0,30631093,2023,202423539349300542
364675145,FAMOUS FIDO RESCUE AND ADOPTION ALL,840034,0,840034,2023,202403379349300930
264618722,SHERMAN COUNTY ECONOMIC DEVELOPMENT,720675,683028,8000,2023,202443399349300944
311446645,GREATER DAYTON ISLAMIC FOUNDATION,1206026,716710,77058,2023,202433439349300203
462254568,Colorado International Language Academy,4241944,415743,11,2023,202433379349301318
814070328,HULBERT CHEROKEE COMMUNITY ORG,569039,556793,0,2023,202433469349300623
541389465,Bloxom Volunteer Fire Co Inc,420018,205507,58788,2023,202433319349300248
222051199,NEW JERSEY FAMILY PLANNING LEAGUE INC,42318932,42243339,0,2023,202403549349300735
440545283,OZARKS REGIONAL YMCA,14451600,1794107,245400,2023,202443349349300809
820635905,MISSION OF MERCY ARIZONA HEALTH,260306,0,251701,2023,202443549349301654
742020902,ParentChild Incorporated,18785458,18661053,0,2023,202403489349300940
411540247,MINNESOTA STATE COLLEGE SOUTHEAST,4029769,0,2927392,2023,202413489349300221
813823874,KIDS DOC ON WHEELS,409089,0,316733,2023,202403479349300810
431276651,NEW HEIGHTS CHRISTIAN ACADEMY,5268759,0,1325522,2023,202413449349300721
882776082,Moshia Israel,747658,0,747658,2023,202433329349300213
454808387,CHRISTIAN CAMPUS FELLOWSHIP AT UGA,316402,0,273735,2023,202413459349300611
136213516,AMERICAN CIVIL LIBERTIES UNION FOUNDATION,280525995,0,166453992,2023,202413279349300946
237424845,HUMAN FAMILY EDUCATIONAL AND,1122231,0,549337,2023,202423519349301657
621048196,The Humane Association of Wilson County Inc,1075600,50000,588870,2023,202423539349300517
382906105,CARLETON NON-PROFIT HOUSING CORPORATION,498798,278628,0,2023,202403539349301000
821118409,Weird Enough Company Inc,338867,0,315366,2023,202413319349301436
470849914,PILCHUCK LEARNING CENTER,1216522,0,1035900,2023,202433309349301153
237069300,DADE AMATEUR GOLF ASSOCIATIONINC,2130972,112500,1611742,2023,202433519349300848
