# Non-state 'UNIVERSITY OF ...' patterns (8,646 entries)
# Sorted by total donation amount (descending)
# Format: NAME	COUNT	TOTAL_DONATIONS

University of Pretoria	60	8502714.0
MEDICAL UNIVERSITY OF GRAZ	8	8500000.0
EVANGEL UNIVERSITY OF THE ASSEMBLIES OF GOD	28	8438882.0
UNIVERSITY OF NASHVILLE MONTGOMERY BELL ACADEMY	122	8421270.0
MANSFIELD UNIVERSITY OF PA	14	8418752.0
UNIVERSITY OF GLOBAL HEALTH EQUITY (UGHE) LTD	6	8406924.0
THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE	48	8384752.0
UNIVERSITY OF CHICAGO MEDICINE	96	8325154.0
UNIVERSITY OF QUEENSLAND IN AMERICA INC	16	8317784.0
NORC AT THE UNIVERSITY OF CHICAGO	48	8171814.0
UNIVERSITY OF CENTRAL FLORIDA RESEARCH FOUNDATION	24	8141240.0
UNIVERSITY OF WI FOUNDATION	44	8109036.0
American University of Armenia	10	8038978.0
UNIVERSITY OF COPENHAGEN	24	8017324.0
UNIVERSITY OF CENTRAL FLORIDA COLLEGE	4	8000000.0
UNIVERSITY OF BALTIMORE FOUNDATION	146	7901756.0
UNIVERSITY OF GLASGOW	18	7884616.0
UNIVERSITY OF SOUTHERN CALIFO	8	7784500.0
AMERICAN SOCIETY OF THE UNIVERSITY OF HAIFA	118	7782058.0
UNIVERSITY OF NORTHWESTERN-ST PAUL	216	7743176.0
UNIVERSITY OF SHEFFIELD THE	10	7645418.0
UNIVERSITY OF JAMESTOWN	226	7561964.0
CITY UNIVERSITY OF SEATTLE	16	7549274.0
REGENTS OF THE UNIVERSITY OF CA	72	7544008.0
UNIVERSITY OF CO FOUNDATION	44	7436946.0
THE UNIVERSITY OF QUEENSLAND	18	7431220.0
UNIVERSITY OF SOUTHAMPTON THE	14	7410308.0
UNIVERSITY OF GUELPH	26	7355000.0
UNIVERSITY OF SD FOUNDATION	22	7326924.0
UNIVERSITY OF CHICAGO LAW SCHOOL	122	7303750.0
UATX (THE UNIVERSITY OF AUSTIN)	2	7228000.0
UNIVERSITY OF RI FOUNDATION	34	7188438.0
UNIVERSITY OF SCIENCES TECHNIQUES AND TECHNOLOGIES OF BAMAKO	12	7083802.0
UNIVERSITY OF MIAMI SYLVESTER COMPREHENSIVE CANCER CENTER	52	7073110.0
REGENTS OF THE UNIVERSITY OF	72	7022168.0
UNIVERSITY OF SHEFFIELD	10	7018206.0
HOSPITAL OF UNIVERSITY OF PA	12	6995958.0
University of Central Missouri	28	6974384.0
University of New England	110	6970694.0
ROSEMAN UNIVERSITY OF HEALTH SCIENCES	32	6961200.0
MO UNIVERSITY OF SCIENCE AND TECHNOLOGY	4	6947932.0
TRUSTEES OF THE UNIVERSITY OF PENN	124	6940594.0
TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION	52	6887240.0
UNIVERSITY OF FINDLAY	312	6789254.0
UNIVERSITY OF SOUTHERN CALIFORNIA SCHOOL OF MEDICINE	8	6755484.0
UNIVERSITY OF MOUNT OLIVE	132	6677518.0
UNIVERSITY OF ADELAIDE	18	6605816.0
UNIVERSITY OF NORTH TEXAS AT DALLAS FOUNDATION	48	6538780.0
UNIVERSITY OF SAINT JOSEPH	158	6528534.0
METROPOLITAN STATE UNIVERSITY OF DENVER FOUNDATION	72	6521398.0
University of Southern Maine	116	6514448.0
AMERICAN UNIVERSITY OF PARIS INC	20	6510774.0
University of Bridgeport	30	6486526.0
UNIVERSITY OF CHICAGO - SMART MUSEUM OF ART	10	6453000.0
UNIVERSITY OF LAUSANNE	14	6435168.0
THE UNIVERSITY OF MT- WESTERN	2	6410552.0
University Of Southern California	32	6409368.0
ST MARYS UNIVERSITY OF SAN ANTONIO	82	6294170.0
University of Kentucy	2	6246996.0
UNIVERSITY OF NORTH FLORIDA FOUNDATION INC	104	6235966.0
UNIVERSITY OF CENTRAL FL ATHLETICS	50	6230000.0
FRIENDS OF THE UNIVERSITY OF NOTRE DAME	6	6200000.0
UNIVERSITY OF NEW ORLEANS FOUNDATION	226	6198228.0
DUKE UNIVERSITY OF LAW SCHOOL	22	6140000.0
University of Memphis	70	6107210.0
UNIVERSITY OF THE CUMBERLANDS INC	100	6081742.0
American Society of the University of Haifa	26	6079970.0
University of Southern Mississippi	46	6067734.0
UNIVERSITY OF SOUTHERN MISSISSIPPI FOUNDATION	122	6063058.0
THE UNIVERSITY OF THE SOUTH	152	6041302.0
UNIVERSITY OF CA DAVIS	26	6030698.0
UNIVERSITY OF PUERTO RICO AT RO PIEDRAS	8	6026666.0
DUQUESNE UNIVERSITY OF THE HOLY GHOST	12	6020000.0
UNIVERSITY OF MARLAND ST JOSEPH FOUNDATION INC	2	6000000.0
UNIVERSITY OF PITTSBURGH CANCER INSTITUTEDBA UPMC HILLMAN CANCER CENTER	2	6000000.0
University of Richmond	102	5975850.0
THE UNIVERSITY OF MANCHESTER	12	5962494.0
University of San Diego	92	5956236.0
UNIVERSITY OF SASKATCHEWAN	30	5942548.0
UNIVERSITY OF OSLO	12	5899486.0
UNIVERSITY OF HOUSTON SYSTEM	72	5888262.0
University of Pittsburgh Cancer Institute	6	5848820.0
